mosaic_id;ra_dates;dec_dates;date;flux_dates
P164+37;164.576;37.118;2019-11-16 11:36:04;1.022
P164+40;164.411;39.627;2018-09-25 10:39:37;1.281
P164+55;164.633;54.685;2018-08-04 18:02:24;0.99
P164+67;164.755;67.229;2020-02-08 11:13:22;0.889
P165+30;165.545;29.593;2020-01-24 14:24:20;1.005
P165+57;165.084;57.197;2018-09-08 06:45:50;0.962
P166+22;166.466;22.068;2019-04-24 18:37:54;0.952
P166+27;166.76;27.09;2020-02-05 14:24:56;1.12
P166+35;166.853;34.62;2019-03-09 14:26:02;1.511
P166+60;166.217;59.712;2019-03-23 21:40:42;1.025
P167+32;167.347;32.113;2019-12-07 01:24:21;1.038
P167+37;167.823;37.135;2019-11-16 09:32:10;1.074
P167+40;167.773;39.645;2019-10-09 21:20:48;0.93
P167+42;167.322;42.152;2019-02-08 18:17:17;0.911
P168+15;168.797;14.551;2020-02-17 19:39:04;0.978
P168+30;168.523;29.609;2019-04-03 08:24:05;1.009
P168+62;168.983;62.235;2018-10-10 09:04:57;1.072
P168+65;168.555;64.741;2019-11-11 18:20:41;1.04
P169+12;169.711;12.045;2020-02-17 21:13:20;1.079
P169+22;169.26;22.083;2018-10-11 09:08:22;0.901
P169+35;169.999;34.637;2019-12-05 18:36:11;1.116
P169+55;169.114;54.709;2018-07-25 22:05:57;0.904
P169+57;169.865;57.222;2018-08-22 13:20:48;1.027
P169+82;169.533;82.268;2019-03-21 05:53:10;1.417
P16Hetdex13;176.801;52.122;2018-07-24 05:28:29;0.899
P17;178.922;45.332;2018-08-27 12:26:02;0.986
P170+32;170.404;32.129;2019-11-30 11:15:29;1.045
P170+42;170.815;42.17;2019-02-21 04:24:28;0.933
P171+15;171.472;14.565;2020-08-19 06:26:03;1.021
P171+20;171.971;19.587;2020-12-10 06:36:12;1.081
P171+30;171.503;29.625;2020-01-22 10:12:44;0.879
P171+37;171.07;37.152;2019-04-14 23:51:09;0.969
P171+40;171.135;39.662;2019-10-16 22:33:19;0.919
P171+60;171.357;59.739;2018-08-24 09:08:14;1.02
P171+67;171.458;67.264;2019-11-17 19:38:23;0.883
P172+22;172.053;22.098;2021-01-31 03:10:48;1.23
P173+32;173.461;32.145;2020-01-27 03:04:03;0.941
P173+35;173.148;34.653;2019-11-26 06:10:46;0.974
P173+55;173.597;54.732;2018-08-16 01:24:42;1.017
P174+30;174.479;29.64;2020-02-03 22:59:55;0.933
P174+37;174.319;37.169;2019-11-14 03:43:21;0.942
P174+40;174.499;39.68;2019-10-18 19:58:08;1.003
P174+42;174.312;42.189;2019-03-17 08:34:12;0.86
P174+57;174.653;57.247;2018-11-18 05:34:11;1.001
P174+62;174.547;62.264;2019-10-28 23:35:34;1.106
P174+65;174.629;64.772;2020-01-23 16:58:24;0.985
P175+27;175.484;27.136;2019-03-17 19:39:36;1
P176+32;176.519;32.161;2019-12-08 08:18:57;0.771
P176+35;176.293;34.67;2019-11-22 11:42:11;1.234
P176+60;176.496;59.765;2019-01-16 10:12:12;1.063
P177+17;177.421;17.106;2019-12-29 21:45:46;0.989
P177+20;177.467;19.616;2018-08-26 23:14:44;1.036
P177+22;177.643;22.127;2018-10-11 05:23:41;1.02
P177+30;177.457;29.656;2020-01-26 15:02:57;0.862
P177+37;177.568;37.186;2019-11-19 19:36:06;0.969
P177+40;177.863;39.697;2019-10-14 14:50:28;0.936
P177+42;177.803;42.207;2019-03-29 19:18:11;1.033
P178+55;178.085;54.756;2018-07-26 12:51:50;0.993
P178+67;178.164;67.299;2018-10-10 13:38:53;0.947
P178+80;178.287;79.821;2019-03-17 00:12:20;1.1
P179+32;179.577;32.177;2020-02-12 13:52:24;0.961
P179+35;179.441;34.686;2018-09-25 01:08:17;1.111
P179+57;179.439;57.272;2019-02-11 20:48:48;1.061
P180+22;180.436;22.142;2017-04-18 22:11:00;1.109
P180+30;180.436;29.672;2020-02-01 12:04:23;0.77
P180+37;180.818;37.203;2019-04-30 19:36:45;1.034
P180+62;180.114;62.293;2019-10-31 08:51:00;0.95
P180+65;180.711;64.804;2018-08-12 18:49:13;1.076
P181+25;181.514;24.657;2020-03-14 05:59:49;1.024
P181+27;181.303;27.166;2019-02-12 07:46:52;1.195
P181+40;181.228;39.715;2019-10-12 22:57:32;0.936
P181+42;181.299;42.225;2018-09-26 22:31:25;1.045
P181+60;181.641;59.792;2019-03-23 05:41:48;0.956
P182+17;182.838;17.134;2019-03-09 11:54:17;1.128
P182+32;182.636;32.193;2020-01-22 13:44:49;0.86
P182+35;182.59;34.703;2020-02-11 03:50:23;0.982
P182+55;182.572;54.779;2018-08-05 09:25:32;0.949
P183+30;183.416;29.687;2020-02-05 11:00:11;0.754
P184+25;184.361;24.672;2020-03-14 07:33:36;0.982
P184+27;184.216;27.181;2018-10-10 10:21:24;0.976
P184+37;184.069;37.22;2019-11-20 06:43:50;1.025
P184+40;184.594;39.733;2019-10-23 07:08:35;0.888
P184+42;184.796;42.243;2018-09-26 01:53:45;1.036
P184+57;184.23;57.297;2019-01-24 07:47:42;1.011
P184+67;184.883;67.334;2019-11-19 03:53:52;0.996
P185+17;185.547;17.148;2019-03-08 15:37:12;1.345
P185+32;185.695;32.209;2020-01-26 13:03:28;0.98
P185+35;185.739;34.719;2019-11-26 18:36:35;1.031
P185+62;185.692;62.322;2019-02-07 12:21:26;0.974
P186+30;186.4;29.703;2020-02-05 16:44:58;0.778
P186+60;186.791;59.819;2019-04-08 08:58:42;0.969
P186+65;186.8;64.836;2019-11-15 21:09:38;1.014
P187+25;187.21;24.687;2020-03-14 08:41:13;1.098
P187+27;187.123;27.197;2020-03-26 07:34:25;0.929
P187+37;187.32;37.237;2019-05-05 13:50:52;1.02
P187+40;187.961;39.75;2018-09-06 11:06:10;1.026
P187+55;187.064;54.803;2018-07-22 11:28:41;0.933
P188+17;188.256;17.163;2019-03-09 08:56:14;2.974
P188+32;188.755;32.225;2018-08-21 00:22:52;1.056
P188+35;188.889;34.736;2019-05-01 04:16:27;0.907
P188+42;188.294;42.262;2018-09-24 07:56:39;0.969
P189+30;189.377;29.718;2020-02-08 10:33:25;0.84
P189+57;189.026;57.322;2019-02-12 07:48:15;1.061
P189+82;189.081;82.369;2021-04-07 10:37:19;1.027
P18Hetdex03;178.922;49.748;2018-07-24 21:36:55;0.942
P190+25;190.059;24.702;2020-03-26 07:12:25;1.105
P190+27;190.034;27.212;2018-08-22 04:13:33;1.053
P190+37;190.572;37.254;2019-11-05 23:32:46;0.955
P191+32;191.816;32.241;2019-11-05 12:18:20;0.89
P191+40;191.329;39.768;2018-09-23 08:23:50;0.892
P191+42;191.792;42.28;2018-09-23 22:54:20;0.97
P191+55;191.558;54.826;2018-08-06 12:48:36;0.953
P191+60;191.945;59.846;2019-04-21 12:34:42;1.013
P191+62;191.27;62.351;2019-10-15 00:19:23;0.99
P191+67;191.612;67.369;2020-01-23 03:47:33;1.047
P192+10;192.32;9.654;2020-05-21 23:59:30;1.128
P192+25;192.909;24.717;2019-05-30 07:18:28;1.16
P192+27;192.945;27.227;2018-08-19 23:00:02;1.028
P192+30;192.358;29.734;2019-04-28 04:45:58;0.892
P192+35;192.04;34.752;2019-04-26 06:49:26;0.946
P192+65;192.897;64.868;2019-11-22 20:16:00;1.077
P193+37;193.827;37.272;2019-10-25 04:07:47;1.01
P193+57;193.823;57.347;2018-08-24 00:34:24;1.08
P194+22;194.414;22.215;2020-03-25 14:04:37;1.162
P194+32;194.877;32.257;2018-07-15 19:01:15;1.066
P194+40;194.698;39.786;2019-12-18 19:36:49;0.834
P195+25;195.759;24.732;2018-08-27 08:18:23;1.16
P195+27;195.856;27.243;2018-07-20 01:40:56;1.412
P195+30;195.339;29.75;2018-08-18 21:03:49;1.055
P195+35;195.191;34.769;2019-04-27 02:51:48;1.025
P195+42;195.292;42.299;2018-09-23 06:29:39;1.055
P196+17;196.385;17.205;2019-05-20 00:45:49;1.229
P196+55;196.054;54.85;2018-08-04 14:06:27;0.987
P196+62;196.852;62.381;2019-11-18 16:19:59;1.037
P197+22;197.21;22.23;2019-04-27 06:53:19;1.028
P197+32;197.938;32.273;2018-07-16 02:40:00;0.885
P197+37;197.079;37.289;2019-08-30 00:36:00;1.039
P197+60;197.103;59.873;2019-04-08 08:41:52;1.008
P198+25;198.609;24.747;2019-06-02 16:02:29;0.96
P198+27;198.768;27.258;2018-08-17 19:28:57;1.132
P198+30;198.321;29.766;2018-08-17 12:11:34;0.973
P198+35;198.343;34.785;2019-05-01 00:54:44;1.022
P198+40;198.067;39.804;2019-12-18 16:37:40;0.917
P198+42;198.793;42.317;2018-09-22 00:16:32;1.265
P198+57;198.625;57.373;2019-03-12 09:12:12;0.944
P198+67;198.351;67.405;2019-11-16 15:44:14;1.14
P199+65;199;64.9;2019-11-17 12:07:41;1.031
P19Hetdex17;181.043;47.493;2018-07-20 17:56:06;0.993
P1Hetdex15;206.498;47.493;2018-08-02 16:32:34;0.986
P200+37;200.333;37.306;2019-05-11 06:22:39;0.93
P200+55;200.553;54.874;2018-08-08 20:52:58;1.016
P201+25;201.46;24.762;2019-08-14 02:23:02;0.765
P201+27;201.681;27.274;2018-08-07 05:20:52;1.029
P201+30;201.304;29.782;2018-08-14 01:02:11;0.951
P201+32;201.004;32.29;2018-08-16 18:42:29;0.845
P201+35;201.495;34.802;2019-07-01 10:32:42;0.956
P201+40;201.439;39.822;2019-09-24 03:42:18;1.001
P202+42;202.295;42.336;2018-10-13 02:33:15;1.018
P202+60;202.265;59.901;2019-04-18 00:11:21;0.997
P202+62;202.442;62.411;2019-05-19 02:03:16;1.059
P203+37;203.588;37.323;2019-05-04 05:35:47;1.042
P203+57;203.432;57.398;2019-02-06 07:50:30;0.978
P204+25;204.311;24.778;2019-04-28 18:44:05;0.967
P204+27;204.593;27.289;2019-08-14 04:44:12;0.798
P204+30;204.287;29.798;2018-08-15 08:29:14;0.85
P204+32;204.063;32.306;2018-08-16 06:31:50;0.757
P204+35;204.648;34.819;2018-08-14 02:10:16;1.037
P204+40;204.809;39.84;2018-09-21 09:32:28;0.984
P205+22;205.601;22.275;2020-03-14 04:14:13;0.887
P205+42;205.798;42.355;2018-09-22 00:01:37;0.999
P205+55;205.055;54.898;2018-08-18 09:00:45;0.996
P205+65;205.111;64.933;2019-12-12 06:48:04;1.064
P205+67;205.102;67.441;2019-12-01 14:51:39;1.134
P206+37;206.844;37.341;2019-05-03 23:04:02;0.924
P206+50;206.992;49.89;2018-08-06 13:15:08;0.941
P206+52;206.439;52.396;2018-07-25 19:21:39;1.031
P207+17;207.226;17.263;2019-09-01 12:20:02;1.051
P207+25;207.162;24.793;2019-10-23 01:52:23;0.927
P207+27;207.506;27.305;2018-08-14 04:53:44;0.977
P207+30;207.27;29.814;2019-04-27 16:23:23;0.784
P207+32;207.126;32.323;2018-11-04 09:52:01;0.719
P207+35;207.802;34.836;2018-10-23 00:30:19;1.044
P207+45;207.27;44.872;2018-08-23 06:17:55;1.004
P207+60;207.432;59.929;2019-03-13 05:43:40;0.948
P208+40;208.181;39.858;2019-09-19 04:06:46;0.983
P208+57;208.239;57.424;2018-10-31 13:42:29;1.063
P208+62;208.037;62.441;2019-11-03 09:39:11;0.974
P209+42;209.302;42.374;2018-09-21 10:06:18;1.075
P209+55;209.56;54.923;2018-08-15 15:05:18;1.001
P20Hetdex17;183.164;45.332;2018-09-02 20:54:49;0.884
P21;181.043;52.122;2018-08-04 03:29:16;0.872
P210+20;210.462;19.791;2019-08-31 10:39:02;0.967
P210+30;210.254;29.83;2019-06-10 17:41:58;0.845
P210+32;210.19;32.34;2019-09-24 01:36:13;0.841
P210+35;210.957;34.853;2019-06-03 13:00:49;0.957
P210+37;210.101;37.359;2019-09-27 20:38:22;0.973
P210+45;210.922;44.892;2018-08-23 04:11:27;1.092
P210+47;210.028;47.397;2018-08-08 16:32:43;1.193
P210+52;210.684;52.419;2018-08-07 09:47:42;1.008
P211+15;211.609;14.777;2019-08-10 03:08:26;1.106
P211+40;211.554;39.876;2019-08-18 06:12:39;1.029
P211+50;211.012;49.912;2018-08-13 16:31:58;0.95
P211+65;211.229;64.966;2019-11-15 13:44:04;0.992
P211+67;211.86;67.478;2019-11-22 08:32:46;0.999
P212+42;212.807;42.393;2018-09-20 18:18:33;1.033
P212+60;212.603;59.957;2019-04-20 19:16:51;1.095
P213+30;213.238;29.846;2019-11-29 22:32:18;0.745
P213+32;213.255;32.356;2019-11-29 15:05:56;0.761
P213+37;213.358;37.377;2019-05-05 00:16:12;0.952
P213+47;213.854;47.418;2018-08-04 12:00:47;1.065
P213+57;213.049;57.451;2018-10-31 01:33:02;0.988
P213+62;213.639;62.471;2019-10-28 16:01:11;0.919
P214+15;214.286;14.792;2019-06-26 19:26:03;0.909
P214+35;214.112;34.871;2018-09-12 04:09:38;0.925
P214+40;214.928;39.895;2019-10-12 23:46:50;1.128
P214+45;214.576;44.912;2018-08-22 19:35:04;1.124
P214+52;214.93;52.443;2018-08-14 12:33:03;1.028
P214+55;214.067;54.947;2018-08-06 05:51:36;0.941
P215+50;215.034;49.934;2018-08-11 04:32:32;0.924
P216+30;216.223;29.863;2019-11-29 08:49:49;0.874
P216+32;216.319;32.373;2019-11-28 09:18:42;0.785
P216+37;216.617;37.395;2019-05-12 13:52:55;0.863
P216+42;216.316;42.412;2018-09-12 01:24:20;1.095
P217+07;217.277;7.278;2019-09-02 03:33:37;0.85
P217+35;217.267;34.888;2019-05-06 18:57:56;0.932
P217+47;217.681;47.439;2018-08-09 23:24:05;1.114
P217+57;217.864;57.477;2019-01-02 02:37:15;1.074
P217+60;217.778;59.986;2018-10-28 00:38:26;1.161
P217+65;217.355;65;2019-11-09 06:10:55;1.022
P218+40;218.303;39.914;2019-10-13 04:45:56;1.118
P218+45;218.233;44.933;2018-08-22 16:33:46;0.945
P218+55;218.577;54.972;2018-08-06 02:17:42;0.946
P218+68;218.63;67.515;2020-01-22 06:12:17;1.001
P219+30;219.21;29.88;2020-02-09 12:24:26;0.869
P219+32;219.385;32.39;2019-11-27 22:01:37;0.907
P219+37;219.876;37.413;2019-05-03 15:56:01;0.92
P219+42;219.82;42.432;2018-09-12 04:42:35;0.981
P219+50;219.057;49.956;2018-08-03 04:27:55;0.854
P219+52;219.182;52.467;2018-08-02 02:51:08;0.948
P219+63;219.248;62.503;2019-10-16 05:47:39;1.026
P220+02;220.068;2.274;2019-09-19 03:54:19;0.908
P220+35;220.424;34.906;2019-11-21 13:50:43;0.872
P221+40;221.679;39.933;2018-09-08 17:27:48;1.058
P221+45;221.891;44.953;2018-08-22 17:01:00;0.827
P221+47;221.51;47.461;2018-08-09 23:13:00;0.928
P222+30;222.194;29.896;2018-10-10 09:57:09;0.967
P222+32;222.451;32.408;2019-11-27 17:17:40;0.981
P222+58;222.683;57.505;2019-04-25 02:49:34;1.083
P222+60;222.958;60.015;2019-04-17 09:05:46;1
P223+35;223.581;34.924;2019-03-11 14:22:10;1.106
P223+37;223.135;37.431;2019-03-13 14:30:01;0.918
P223+42;223.328;42.452;2018-09-08 13:39:18;0.997
P223+50;223.083;49.979;2018-08-01 14:22:45;1.088
P223+52;223.431;52.491;2018-08-10 07:13:01;0.799
P223+55;223.09;54.998;2018-07-30 20:59:09;1.103
P223+65;223.489;65.035;2019-11-12 16:58:44;1.024
P224+63;224.859;62.535;2019-11-06 08:46:20;1.014
P225+02;225.249;2.303;2021-03-06 20:06:28;1.367
P225+22;225.19;22.384;2020-08-02 03:12:36;1.149
P225+30;225.181;29.913;2019-03-10 06:06:59;1.005
P225+32;225.517;32.425;2019-03-11 14:02:39;1.023
P225+40;225.055;39.952;2018-09-08 04:56:21;0.924
P225+45;225.55;44.974;2019-01-15 17:33:26;0.973
P225+47;225.34;47.483;2018-08-09 10:21:05;0.968
P225+68;225.411;67.554;2019-11-19 07:08:52;0.984
P225+70;225.012;70.059;2019-08-28 14:12:17;0.973
P226+35;226.739;34.942;2019-11-11 11:41:43;0.852
P226+37;226.397;37.45;2019-11-14 07:21:13;0.898
P226+42;226.84;42.472;2018-08-21 23:15:16;0.967
P227+27;227.91;27.419;2020-10-23 11:23:21;1.096
P227+50;227.11;50.002;2018-08-01 17:37:42;0.949
P227+53;227.685;52.515;2018-08-03 12:29:29;0.899
P227+55;227.606;55.024;2018-08-19 12:58:30;1.056
P227+58;227.505;57.532;2019-04-25 02:47:52;1.02
P228+05;228.399;4.831;2018-10-11 15:49:13;1.214
P228+30;228.168;29.931;2018-09-06 09:19:50;0.995
P228+32;228.585;32.443;2019-11-09 16:08:01;1.007
P228+40;228.433;39.972;2019-10-15 10:47:26;0.941
P228+60;228.143;60.045;2019-04-11 04:10:18;0.981
P229+25;229.986;24.922;2020-10-24 03:43:55;1.047
P229+35;229.897;34.961;2019-05-23 20:03:23;0.9
P229+37;229.657;37.469;2019-05-27 20:03:00;0.936
P229+45;229.21;44.996;2018-11-17 04:48:56;0.93
P229+48;229.172;47.505;2018-11-12 23:22:03;0.991
P229+65;229.631;65.071;2018-08-27 22:36:14;0.971
P22Hetdex04;183.164;49.748;2018-07-21 23:25:25;0.978
P230+07;230.328;7.353;2018-10-10 14:31:48;1.324
P230+27;230.827;27.436;2019-02-12 14:14:25;1.125
P230+42;230.348;42.493;2018-10-15 12:11:04;0.974
P230+63;230.478;62.567;2019-02-07 07:37:22;1.033
P231+30;231.155;29.948;2019-06-02 20:58:21;0.973
P231+32;231.652;32.461;2019-12-05 16:27:53;0.999
P231+40;231.812;39.992;2019-10-21 11:39:37;0.937
P231+50;231.14;50.026;2019-04-03 17:46:43;0.98
P231+53;231.941;52.54;2018-10-30 05:32:12;0.973
P232+07;232.935;7.368;2018-10-07 11:18:28;1.463
P232+25;232.841;24.938;2020-10-23 05:08:58;0.763
P232+37;232.92;37.488;2019-11-17 13:04:54;0.957
P232+45;232.872;45.017;2019-03-20 22:12:09;0.92
P232+55;232.128;55.05;2019-04-14 18:19:30;0.919
P232+58;232.331;57.561;2019-03-20 07:34:02;1.015
P232+68;232.203;67.594;2019-11-23 07:42:08;1.073
P232+70;232.62;70.103;2018-10-08 12:47:08;1.097
P233+22;233.591;22.433;2020-10-24 14:26:52;0.785
P233+27;233.744;27.453;2020-10-16 01:56:43;1.124
P233+35;233.056;34.979;2019-02-07 09:35:31;0.806
P233+43;233.86;42.513;2018-10-14 13:02:29;0.889
P233+48;233.006;47.528;2019-04-08 03:09:39;0.832
P233+60;233.332;60.075;2019-04-20 19:53:27;0.923
P234+17;234.344;17.417;2020-02-29 16:53:26;0.956
P234+30;234.143;29.966;2019-04-17 20:40:28;0.999
P234+32;234.722;32.479;2020-01-26 08:34:13;0.804
P235+25;235.696;24.955;2020-10-16 17:48:54;1.226
P235+40;235.192;40.011;2019-11-02 14:55:27;0.928
P235+50;235.171;50.05;2019-03-28 22:33:19;0.996
P235+65;235.782;65.107;2019-11-09 13:54:18;1.056
P236+22;236.391;22.449;2021-02-15 03:52:42;0.762
P236+35;236.216;34.998;2018-10-07 23:57:53;1.004
P236+38;236.183;37.508;2019-06-03 05:57:16;0.938
P236+45;236.535;45.039;2018-11-17 17:58:27;0.985
P236+48;236.841;47.55;2018-09-05 21:18:01;0.981
P236+53;236.199;52.565;2018-11-07 07:18:16;0.985
P236+55;236.647;55.077;2019-03-10 17:59:09;0.748
P236+63;236.104;62.601;2019-11-17 06:28:10;0.894
P237+30;237.131;29.984;2020-02-03 23:09:41;0.924
P237+32;237.79;32.498;2020-02-13 13:33:41;0.985
P237+43;237.373;42.534;2018-10-13 23:07:26;1.287
P237+58;237.161;57.59;2018-11-17 05:27:03;1.086
P238+40;238.572;40.032;2019-10-22 04:17:08;1.363
P238+60;238.526;60.107;2019-04-25 04:17:56;1.031
P238+80;238.126;80.15;2019-09-15 14:32:59;1.144
P239+27;239.579;27.489;2018-12-21 01:10:06;0.568
P239+35;239.377;35.017;2019-02-11 15:17:18;0.946
P239+38;239.447;37.527;2020-02-03 14:44:48;0.745
P239+50;239.205;50.074;2019-04-07 05:07:30;0.792
P239+68;239.007;67.634;2018-10-11 06:47:31;0.997
P23Hetdex20;185.286;47.493;2018-08-07 18:58:10;0.968
P240+20;240.741;19.966;2021-01-28 19:24:02;0.918
P240+30;240.12;30.002;2019-02-05 17:58:22;1.045
P240+33;240.86;32.516;2018-09-07 15:08:53;1.072
P240+43;240.887;42.556;2018-10-11 23:48:50;1.227
P240+45;240.202;45.061;2018-11-06 14:36:29;1.043
P240+48;240.678;47.574;2018-10-30 20:25:39;1.004
P240+53;240.461;52.591;2019-03-28 14:31:08;1.019
P241+15;241.069;14.948;2019-03-20 01:55:50;0.863
P241+40;241.954;40.053;2019-10-17 06:40:57;2.542
P241+55;241.172;55.105;2019-03-17 02:12:17;1.194
P241+58;241.995;57.619;2019-03-23 04:44:06;1.223
P241+63;241.736;62.635;2019-10-31 09:26:49;0.963
P241+65;241.941;65.144;2019-11-09 03:54:10;0.999
P242+10;242.231;9.934;2019-03-10 12:07:51;0.866
P242+17;242.484;17.466;2020-12-23 05:56:00;0.961
P242+28;242.497;27.507;2018-10-07 10:05:03;1.09
P242+35;242.538;35.037;2018-10-07 15:27:58;0.942
P242+38;242.712;37.547;2019-01-23 20:26:45;1.045
P243+12;243.878;12.455;2019-10-14 04:12:33;0.99
P243+15;243.748;14.964;2019-10-15 12:13:06;1.023
P243+30;243.11;30.02;2019-12-02 07:40:04;0.959
P243+33;243.93;32.535;2018-10-06 11:40:44;0.996
P243+45;243.866;45.084;2019-03-26 06:19:43;0.93
P243+50;243.24;50.099;2019-02-07 16:19:51;1.205
P243+60;243.725;60.139;2018-10-27 20:48:50;1.014
P244+43;244.402;42.578;2019-06-13 08:53:37;0.982
P244+48;244.519;47.597;2018-12-30 11:25:20;1.115
P244+53;244.724;52.618;2019-01-14 13:19:12;1.327
P245+35;245.7;35.056;2019-11-21 12:46:12;0.824
P245+38;245.977;37.568;2019-11-14 17:14:51;1.203
P245+40;245.337;40.074;2018-10-06 17:58:57;1.273
P245+55;245.703;55.133;2019-02-25 17:57:46;1.362
P245+68;245.822;67.677;2019-11-12 21:03:29;0.993
P246+30;246.102;30.039;2019-11-30 22:28:20;1.066
P246+58;246.833;57.649;2018-10-23 02:40:59;1.091
P247+33;247.001;32.554;2019-12-01 18:21:30;0.943
P247+43;247.919;42.599;2019-10-28 13:28:53;1.001
P247+45;247.534;45.107;2019-10-02 19:49:29;1.043
P247+50;247.277;50.124;2019-11-14 08:06:02;0.807
P247+63;247.374;62.67;2019-11-09 07:20:06;1.075
P248+35;248.863;35.076;2020-01-13 21:32:20;0.985
P248+40;248.72;40.095;2018-10-06 01:52:54;1.116
P248+48;248.357;47.622;2019-11-14 10:51:18;0.876
P248+53;248.99;52.645;2019-11-05 05:53:14;1.292
P248+60;248.93;60.171;2019-04-25 21:47:38;1.082
P248+65;248.111;65.183;2018-09-04 08:00:00;1.132
P248+73;248.224;72.705;2018-10-06 01:28:05;1.005
P249+30;249.091;30.058;2019-05-31 10:46:25;1.03
P249+38;249.244;37.588;2018-10-05 07:55:36;0.96
P250+33;250.073;32.574;2019-02-11 22:48:32;1.08
P250+55;250.232;55.162;2019-11-03 12:55:47;1.179
P251+28;251.255;27.562;2019-02-07 13:58:51;1.017
P251+43;251.437;42.622;2019-07-06 17:24:49;0.889
P251+45;251.203;45.13;2019-11-27 07:54:09;1.097
P251+50;251.318;50.15;2019-11-17 05:59:16;1.01
P251+58;251.674;57.68;2019-10-30 09:33:53;1.007
P252+30;252.082;30.077;2020-02-15 09:51:21;1.084
P252+35;252.027;35.096;2018-10-04 02:32:50;0.965
P252+38;252.511;37.609;2018-10-03 18:32:37;0.946
P252+40;252.105;40.117;2020-01-22 16:09:19;1.013
P252+48;252.2;47.646;2019-11-02 18:23:37;0.969
P252+68;252.653;67.72;2019-12-06 07:40:57;0.947
P253+33;253.145;32.594;2020-02-12 22:56:09;0.792
P253+63;253.02;62.706;2019-10-13 15:05:01;1.152
P254+43;254.956;42.645;2018-10-19 17:51:25;1.039
P254+45;254.873;45.154;2019-06-17 09:36:34;1.009
P254+60;254.139;60.205;2019-11-01 09:22:52;1.007
P254+65;254.285;65.223;2018-10-03 23:11:04;0.956
P255+25;255.692;25.08;2019-02-09 01:38:39;1.027
P255+30;255.074;30.096;2018-10-15 15:18:15;0.98
P255+35;255.192;35.117;2020-01-09 00:05:19;1.077
P255+38;255.78;37.631;2018-10-03 17:50:13;1.157
P255+40;255.491;40.139;2019-11-28 19:01:09;1.219
P255+78;255.854;77.762;2019-06-14 00:39:52;1.12
P256+33;256.218;32.614;2020-01-13 07:02:58;1.042
P256+58;256.52;57.712;2020-02-17 13:25:31;0.956
P258+30;258.066;30.116;2019-01-25 17:26:52;1.055
P258+35;258.357;35.138;2020-01-24 01:21:41;0.943
P258+40;258.878;40.161;2020-02-07 10:25:34;1.225
P258+43;258.476;42.668;2020-02-04 16:01:59;0.93
P258+45;258.546;45.178;2020-02-14 09:20:20;1.15
P259+33;259.292;32.634;2018-10-02 06:14:15;1.05
P259+38;259.049;37.652;2019-11-26 02:06:58;1.131
P259+55;259.304;55.221;2021-03-25 20:16:54;1.034
P259+68;259.491;67.765;2019-03-20 15:27:53;1.064
P25Hetdex09;185.286;52.122;2018-07-28 05:51:57;0.833
P260+20;260.027;20.089;2020-09-18 11:30:53;0.977
P260+28;260.018;27.619;2018-09-11 06:58:36;1.011
P260+65;260.472;65.264;2019-01-25 17:23:42;1.044
P261+25;261.409;25.119;2021-02-14 16:54:09;0.89
P261+30;261.059;30.136;2019-12-07 16:11:52;1.031
P261+35;261.523;35.159;2020-01-21 22:47:57;1.055
P261+43;261.998;42.691;2019-12-07 09:22:25;1.155
P261+58;261.37;57.744;2020-02-20 19:44:14;1.052
P262+28;262.94;27.639;2020-11-24 20:42:45;1.063
P262+33;262.366;32.655;2020-02-08 05:33:03;1.006
P262+38;262.319;37.674;2018-10-02 06:26:38;1.073
P262+40;262.266;40.184;2018-10-02 06:19:18;1.117
P262+45;262.219;45.203;2020-02-05 10:41:51;0.993
P264+30;264.053;30.156;2018-10-01 06:25:54;1.12
P264+35;264.69;35.18;2019-03-13 01:49:11;0.909
P264+63;264.331;62.782;2020-10-29 10:19:56;1.019
P265+10;265.886;10.088;2019-07-30 16:37:08;0.871
P265+15;265.19;15.104;2018-10-01 15:00:24;0.867
P265+28;265.862;27.659;2020-12-06 06:53:38;1.043
P265+33;265.441;32.676;2019-12-06 08:06:55;0.913
P265+38;265.591;37.696;2018-10-20 10:46:48;1.057
P265+40;265.656;40.207;2019-06-29 10:10:32;0.971
P265+43;265.521;42.715;2019-02-05 09:29:28;1.06
P265+45;265.895;45.228;2019-09-30 13:10:50;1.101
P266+68;266.346;67.811;2019-02-21 00:48:31;1.046
P267+30;267.047;30.177;2018-10-15 08:08:14;1.056
P267+35;267.858;35.202;2020-01-09 17:44:18;0.998
P267+50;267.498;50.258;2019-03-31 17:53:53;1.152
P268+28;268.785;27.679;2019-01-22 21:14:19;0.922
P268+33;268.517;32.697;2019-01-22 11:27:03;1.008
P268+38;268.863;37.719;2019-02-01 06:54:57;1.107
P269+40;269.047;40.23;2019-12-09 16:28:43;1.099
P269+43;269.045;42.74;2019-01-21 18:05:04;1.262
P269+45;269.571;45.253;2020-01-27 03:45:57;0.887
P26Hetdex03;187.407;49.748;2018-07-25 04:05:18;1.019
P270+30;270.043;30.197;2019-08-31 18:55:04;1.046
P271+10;271.145;10.125;2021-03-13 03:13:54;0.792
P271+33;271.594;32.718;2019-12-05 10:48:42;1.053
P271+35;271.026;35.224;2018-10-20 02:26:11;1.14
P272+38;272.136;37.742;2018-10-19 21:00:23;1.192
P272+40;272.44;40.254;2018-11-22 08:22:46;1.298
